Name,SMILES,Lmax
1,Oc1cc(O)c2c(c1)O[C@@H]([C@@H](C2)OC(=O)c1cc(O)c(c(c1)O)O)c1cc(O)c(c(c1)O)O,263.5
2,Brc1[nH]c2c(n1)c(Br)c(c(c2Br)Br)Br,264.0
3,Clc1ccc(c(c1)Cl)OCCn1cncc1,245.2
5,CC(=O)O[C@H]1[C@@H](O[C@@H]([C@H]1C(F)(F)F)COC(=O)c1ccccc1)n1ccc(=O)[nH]c1=O,242.5
6,COC(=O)Cc1ccc(cc1)OC[C@H]1OC1,245.9
7,CN1CCN(CC1)c1c(F)cc2c3c1OCC(n3cc(c2=O)C(=O)O)C,291.8
8,OC[C@H]1O[C@@H](N=C=C2CC(=O)c3c4c2nc2cc(Cl)ccc2c4ncc3)[C@@H]([C@H]([C@@H]1O)O)O,345.9
9,CNc1ccc(cc1)O,280.5
10,Oc1ccccc1c1nc2c(o1)c(cc(c2)C(C)(C)C)C(C)(C)C,285.5
11,OC(=O)C(Cn1cnc2c1ncnc2N(C)C)N,249.8
12,OC(=O)C(Cn1cnc2c1ncnc2NC1CC1)N,246.1
13,OC(=O)C(Cn1cnc2c1ncnc2S)N,255.8
14,OC(=O)C(Cn1cnc2c1nc(N)nc2N(C)C)N,247.7
15,OC(=O)C(Cn1cnc2c1nc(N)nc2NC1CC1)N,246.7
16,OC(=O)C(Cn1cnc2c1nc(N)[nH]c2=O)N,241.5
17,OC(=O)C(Cn1cnc2c1nc(N)nc2S)N,267.6
18,COc1ccc2c(c1)oc(c2C)c1ccc(cc1O)O,279.1
19,[N-]=[N+]=NC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1OC)O)O)n1c2c3[nH]c4c(c3c3c(c2c2c1cccc2)c(=O)[nH]c3=O)cccc4,344.8
20,[O-][N+](=O)OCc1ccc(cc1)C(=O)NNC(=O)C1(C)CCc2c(O1)c(C)c(c(c2C)O)C,260.9
21,Oc1cc2oc(cc(=S)c2c(c1O)O)c1ccccc1,364.3
22,O=C(c1c(O)cc(c(c1O)O)O)C=Cc1ccccc1,317.9
23,O=C(c1c(O)cc(c(c1O)O)O)C=CC1CC=CC=C1,308.1
24,Oc1cc2c(cc1O)oc1c(c2=O)c(O)c(c(c1)O)O,306.0
25,C(CC(=O)c1c(O)cc(cc1O)O)CC=C(C)C,270.3
26,COc1cc(cc(c1OC)OC)c1oncc1c1ccc(c(c1)O)OC,270.5
27,COc1ccc2c(c1)c(CC(=O)OCC(=O)Nc1ccc3c(c1)OCO3)c(n2C(=O)c1ccc(cc1)Cl)C,279.7
28,COc1ccc2c(c1)c(CC(=O)OCC(=O)Nc1ccsc1C(=O)OC)c(n2C(=O)c1ccc(cc1)Cl)C,279.1
29,COc1ccc2c(c1)c(CC(=O)OCC(=O)NCc1ccccc1)c(n2C(=O)c1ccc(cc1)Cl)C,272.5
30,COc1ccc2c(c1)c(CC(=O)OCC(=O)N1CCSCC1)c(n2C(=O)c1ccc(cc1)Cl)C,280.8
31,C=CC[C@H](C(=O)OCc1ccccc1)C[C@@H](C(=O)OCc1ccccc1)NC(=O)OC(C)(C)C,230.0
32,O=C(CC[C@@](C(=O)OCc1ccccc1)(NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)OCc1ccccc1)C)OCc1ccccc1,233.7
33,O=C(N[C@H](C(=O)O)CCC(=O)O)CC[C@H](N(C(=O)c1ccc(cc1)N(C1CCc2c1cc1c(c2)nc([nH]c1=O)N)C)[2H])C(=O)O,277.5
34,c1ccc(cc1)C=Cc1ccc2c(n1)cccc2,290.9
35,Cc1ccc2c(n1)c(O)c(cc2)C(=O)NCc1ccccc1,303.8
36,CCn1c(N)c(N)c(=O)n(c1=O)CC,229.2
37,c1ccc2c(c1)c(c[nH]2)C1NCCc2c1[nH]c1c2cccc1,266.5
38,COc1ccc2c(c1)[nH]c1c2cc2c(c1C)sc(c2C)C,295.6
39,Clc1nnc(c(c1)N1CCN(CC1)CCOc1ccc(cc1)n1cnnc1)Cl,316.4
40,O=C(OC1CC2C(C1(C)CC2)(C)C)C=Cc1cc(O)c(c(c1)O)O,276.5
41,COC(=O)C(NC(=O)C(CC(=O)O)N)Cc1ccccc1,233.3
42,OC[C@@H]([C@@H](Cc1ccc(c(c1)OC)O)CO)Cc1ccc(c(c1)OC)O,254.4
43,COc1cc(ccc1O)[C@H]1OC[C@H]2[C@@H]1CO[C@@H]2c1ccc(c(c1)OC)O,248.6
44,O=C(c1cc(NCc2c(C)cccc2C)c2c(n1)c(C)c([nH]2)C)N(C)C,267.3
45,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C,251.4
49,CNCC(CC12CCC(c3c1cccc3)c1c2cccc1)O,237.0
50,OC[C@H]1OC([C@@H]([C@@]1(O)C#C[2H])O)n1cc(O)c(=O)[nH]c1=O,258.2
51,C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1cc(Cl)c(=O)[nH]c1=O)[2H],246.0
52,C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1cc(Br)c(=O)[nH]c1=O)[2H],251.7
53,C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1cc(I)c(=O)[nH]c1=O)[2H],266.0
54,C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1ncc(=O)[nH]c1=O)[2H],271.2
